movieId,title,genres,img,lang
1,Toy Story (1995),Animation|Children's|Comedy,https://s199.imacdn.com/vg/2021/11/25/9804ff507acbeaf2_1a3746430cf6d7e5_3740416378257066118684.jpg,Japan
2,Jumanji (1995),Adventure|Children's|Fantasy,https://s199.imacdn.com/vg/2021/11/08/aa2aa26d1a427ba4_dbec529c9e53151b_3800916363637754118684.jpg,Laos
3,Grumpier Old Men (1995),Comedy|Romance,https://s199.imacdn.com/vg/2021/11/02/0ee7d821c8addef0_efd42581f43422d0_26161163587030799674.jpg,Khmer
4,Waiting to Exhale (1995),Comedy|Drama,https://s199.imacdn.com/vg/2021/10/23/c3bbf243adc1dddc_e3c0451c63eda601_38305163498231359674.jpg,China
5,Father of the Bride Part II (1995),Comedy,https://s199.imacdn.com/vg/2021/10/23/dc641920cf91ab3f_bc8ea4b22379a70d_57887163498219899674.jpg,Thailand
6,Heat (1995),Action|Crime|Thriller,https://s199.imacdn.com/vg/2021/10/23/5dc3dbc4e244d6db_bc5e4249330e0962_50244163498199359674.jpg,Italy
7,Sabrina (1995),Comedy|Romance,https://s199.imacdn.com/vg/2021/10/23/9bd617e0f3d1da76_6df3c05b0522faf7_61053163498187089674.jpg,Armenia
8,Tom and Huck (1995),Adventure|Children's,https://s199.imacdn.com/vg/2021/10/23/e732209657deb21a_8d92c61467f96f5f_56481163498149369674.jpg,Armenia
9,Sudden Death (1995),Action,https://s199.imacdn.com/vg/2021/10/23/c3aa472a33943705_b6565a7c98f271de_34570163498134269674.jpg,French
10,GoldenEye (1995),Action|Adventure|Thriller,https://s199.imacdn.com/vg/2021/12/02/cc037a522d94831c_13b713b4f3d8d936_5384916384330676118684.jpg,Thailand
11,"American President, The (1995)",Comedy|Drama|Romance,https://s199.imacdn.com/vg/2021/10/14/118a85828d4559ea_75a7a7a791f09b2e_4839516341570969118684.jpg,Catalan
12,Dracula, Dead and Loving It (1995),https://s199.imacdn.com/vg/2021/09/30/4fd2d9b63493c1ba_a155786b783077cc_4609616329884878118684.jpg,Vietnam
13,Balto (1995),Animation|Children's,https://s199.imacdn.com/vg/2021/09/27/cffacae8f5793a01_d9a30fa40a2f19dc_2876016327326241118684.jpg,Brazil
14,Nixon (1995),Drama,https://s199.imacdn.com/vg/2021/09/26/4b6f85f6c1df45d4_725a591285fc6628_48551163263810069674.jpg,Korea
